"","samp_id","meas_yr","Age","LateSuc_sp","Species_Div","MaxHgt","Special_Att","MaxDBH","DBH_CV","Hght_CV","DeadFallen_bio","DeadStand_bio","Live_bio","LargeTreesDen","TreeDen","CExyz","CVHeight","FD","CRugos","MADHeight","FHD","CANCOV","Hght_Max","outlier","SI","BEC","AOI","year","IMAT","Stand_Age","Productivity","Age_Productivity","Old_prod","ogi_cluster","BECsubzone","BECzone","PC1","PC2","PC3"
"255","07013AG000005",1992,-0.507270110039196,-3.26247204773158,-0.885857780139318,-0.890056229653744,1.7422574586118,-1.03927879022877,-1.10868291314471,-0.989146727533856,-0.489314008475097,-0.639583181076275,-0.822289633076376,-0.368081494057725,0.386472508870609,-0.69565833726674,3.45261180427375,-1.11575311325464,-0.919080893323764,0.606984802040389,-0.0123771237185679,-2.37953066874278,-0.441321423070999,FALSE,-0.523982764535077,"CDFmm","AOI",2019,-1.23987255451609,"70 - 140yrs","Low-Prod","Low-Prod_70 - 140yrs","70 - 140yrs","Low","CDFmm","CDF",-2.82294676450027,-0.587895791215854,-3.16695195154631
"256","07013AG000006",1992,-0.464792794470627,-3.17893955614671,0.602980687218461,-0.0318141461970997,0.652383040689077,-0.637960449786739,-0.812622389084424,-0.976345536909061,-0.489314008475097,-0.639583181076275,-0.616783510752074,-0.368081494057725,-0.0561107001141942,0.627027446385801,0.499371815464565,0.480658468792393,0.985055219291322,0.983457886439214,0.560620413681416,0.0391683896682113,0.230941013399045,FALSE,0.57526734753408,"CDFmm","AOI",2019,-0.974710997095961,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CDFmm","CDF",-1.83844770768129,-0.628772298836307,-2.24922223827981
"257","07013AG000007",2002,-0.540199760392534,-2.75526223900966,0.00332846359344524,-0.756880733944954,0.836441615111032,-0.794998061264056,-0.873018503635931,-0.231259003341733,-0.377258448984994,-0.448630318813454,-0.81369193818929,-0.368081494057725,-0.484208573920926,0.202399810360397,1.02063071213857,0.658086870454618,0.773912643017498,0.291037858011771,0.0723668133943484,-0.504399457809094,-0.283459109810565,FALSE,-0.456961116735011,"CDFmm","AOI",2019,-0.966393397740326,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CDFmm","CDF",-1.9607279191814,-0.207598168858638,-2.32955586892315
"258","07014CG000001",2008,-0.595491328007893,-3.24590427928032,-1.01082077839915,-0.046611423498076,0.697219646489696,-0.616634354400931,-0.616832324885771,-0.76650711805478,1.14491335518231,-0.598254740031396,-0.822504681170103,-0.368081494057725,-0.646271587265592,-0.361680932323459,0.961235717763924,-0.574049444909175,-0.79738336450537,0.482129472821633,-0.76422560087511,-0.585460928059409,-0.959571846604035,FALSE,0.266104244009753,"CWHxm2","AOI",2019,-0.724122148209036,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CWHxm","CWH",-1.54608189125084,0.166836250195069,-3.03963147318979
"259","07015AR000509",1985,-0.446230661509346,0.412462226982366,-1.65364583333333,-0.0762059781000292,-0.981410963022347,-0.692245056223342,-0.0591139413314916,0.736806616621847,-0.489314008475097,-0.0216013071593322,-0.773853677991757,-0.368081494057725,-0.687925429865902,0.643909685484295,-0.585892919812651,0.423556308758113,0.808392841670016,0.302390550874613,0.71754757855089,0.488819882057827,0.897813029416295,FALSE,0.806248338119439,"CWHxm2","AOI",2019,-0.783318753338591,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CWHxm","CWH",-0.937733520168817,0.990539706590593,0.271234455952936
"260","07015AR000515",1989,-0.40972688272015,0.411484285009849,-0.999884002552143,-0.0540100621485644,-1.13226539173124,-0.812446684761535,-0.00198603146840794,-0.224746029946889,-0.489314008475097,-0.450866322925985,-0.626221292006857,-0.368081494057725,0.0274226798033453,0.78229151312172,-0.371191872184467,0.354243904793226,0.810392470960578,0.453707188535292,0.109114729773806,0.453477355305866,0.676805790851686,FALSE,0.743480876291388,"CWHxm2","AOI",2019,-0.902072020576427,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CWHxm","CWH",-1.29380254589676,0.426285453275472,0.745396106816496
"261","07016AG000013",2008,-0.521310165269334,-3.26939771362603,-1.13359714255905,-0.586712044983723,1.9595092374763,-0.950096936797208,-0.566789403939972,-0.0733865066034239,-0.130515413320131,-0.592498245043965,-0.688716793087048,-0.368081494057725,0.5416826444119,-0.030739454181987,0.0994177863088818,0.879506086989984,0.00568140954332705,0.182869346324409,0.599786828925333,0.230902265167801,-0.988834129062067,FALSE,-0.230006389925745,"CDFmm","AOI",2019,-0.914527122010588,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CDFmm","CDF",-2.20323474308446,0.256508346103983,-3.26592418692646
"262","07016AG000014",2008,-0.505667533133699,-3.26111719981696,-1.12956318420116,-0.497928381177863,1.61076730521851,-0.922954633578907,-0.595159688579558,0.0877307011561792,-0.0992668722045858,-0.463588861366857,-0.67268328723409,-0.368081494057725,0.304705066357665,-0.0242011939570529,-0.0183614375269848,0.931490400167261,0.0686279517556601,-0.12745232675337,0.0338639129379456,0.109728512214088,-0.885646080394271,FALSE,-0.255179688363072,"CDFmm","AOI",2019,-0.89490197417458,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CDFmm","CDF",-2.05396499849659,0.334211849390313,-3.11567341780752
"263","07016AG000017",1992,-0.478486452872906,-3.11321634142731,-0.926542798489,-1.64471737200355,-0.42816581487791,-1.33396665374176,-1.19327343239101,-1.25214469061252,-0.489314008475097,-0.639583181076275,-0.923973554932238,-0.368081494057725,4.64804656583839,-1.15194250572426,0.488113351034371,0.200408648142105,-1.17602296964307,-1.1990020947684,0.48641858434957,-1.13229179038168,-1.69805944863699,FALSE,-1.47145835642248,"CDFmm","AOI",2019,-1.71898494122526,"70 - 140yrs","Low-Prod","Low-Prod_70 - 140yrs","70 - 140yrs","Low","CDFmm","CDF",-4.47326659528175,-0.189038110567539,-0.236263204419888
"264","07018 R000505",1992,-0.510088571477656,-3.40908189290539,-1.44972967507753,-0.305563776265167,0.501703577512777,-0.855098875533152,-0.380950279546405,-1.06643142005023,-0.489314008475097,0.60105359094745,-0.551642447407641,-0.368081494057725,0.0505596369990342,0.446881481061946,-0.186426913124876,1.02948283080477,0.40569111467813,-0.108411928143621,0.311270329649474,0.429392175924954,-0.034729708917295,FALSE,0.612556828152133,"CWHxm2","AOI",2019,-1.02705193648324,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CWHxm","CWH",-2.15571769394128,-0.0846430804614497,-2.76905021835067
"268","07032GR000502",1979,-0.200539972113857,0.412462226982366,-1.20804874105718,0.878218407812963,-0.889551391254969,-0.529391236913532,0.236078712183099,0.00322604343532914,-0.489314008475097,0.153452653086302,-0.625242272618282,-0.368081494057725,-0.589751904516307,0.951042200991225,-0.455081660303211,0.555889252455158,1.9343726480285,0.470457081552129,0.590431409227028,0.718705481319634,0.73995071615586,FALSE,0.31954027641167,"CWHxm1","AOI",2023,-0.570650428740792,"140 - 250yrs","High-Prod","High-Prod_140 - 250yrs","140 - 250yrs","Moderate","CWHxm","CWH",-0.386876216226364,0.70967056115151,0.245248460267811
